section,branch,metric,stat,value,baseline_value,target_value,delta_abs,delta_pct
branch,c68b24d442f5a6f150f41fc71ca3d20f5d5f8a3e (baseline),_runs,success,40,,,,
branch,c68b24d442f5a6f150f41fc71ca3d20f5d5f8a3e (baseline),_runs,failed,0,,,,
branch,c68b24d442f5a6f150f41fc71ca3d20f5d5f8a3e (baseline),throughput,min,200000.0,,,,
branch,c68b24d442f5a6f150f41fc71ca3d20f5d5f8a3e (baseline),throughput,max,231000.0,,,,
branch,c68b24d442f5a6f150f41fc71ca3d20f5d5f8a3e (baseline),throughput,mean,209100.0,,,,
branch,c68b24d442f5a6f150f41fc71ca3d20f5d5f8a3e (baseline),throughput,median,208000.0,,,,
branch,c68b24d442f5a6f150f41fc71ca3d20f5d5f8a3e (baseline),throughput,mad,3000.0,,,,
branch,c68b24d442f5a6f150f41fc71ca3d20f5d5f8a3e (baseline),throughput,cv,0.028065807271393992,,,,
branch,c68b24d442f5a6f150f41fc71ca3d20f5d5f8a3e (baseline),throughput,p50,208000.0,,,,
branch,c68b24d442f5a6f150f41fc71ca3d20f5d5f8a3e (baseline),throughput,p90,214000.0,,,,
branch,c68b24d442f5a6f150f41fc71ca3d20f5d5f8a3e (baseline),throughput,p99,231000.0,,,,
branch,462d785b9e1007e53e8c16a22d0ae2d50db6770e (target),_runs,success,40,,,,
branch,462d785b9e1007e53e8c16a22d0ae2d50db6770e (target),_runs,failed,0,,,,
branch,462d785b9e1007e53e8c16a22d0ae2d50db6770e (target),throughput,min,551000.0,,,,
branch,462d785b9e1007e53e8c16a22d0ae2d50db6770e (target),throughput,max,611000.0,,,,
branch,462d785b9e1007e53e8c16a22d0ae2d50db6770e (target),throughput,mean,580100.0,,,,
branch,462d785b9e1007e53e8c16a22d0ae2d50db6770e (target),throughput,median,579500.0,,,,
branch,462d785b9e1007e53e8c16a22d0ae2d50db6770e (target),throughput,mad,10500.0,,,,
branch,462d785b9e1007e53e8c16a22d0ae2d50db6770e (target),throughput,cv,0.025090026407392177,,,,
branch,462d785b9e1007e53e8c16a22d0ae2d50db6770e (target),throughput,p50,579000.0,,,,
branch,462d785b9e1007e53e8c16a22d0ae2d50db6770e (target),throughput,p90,598000.0,,,,
branch,462d785b9e1007e53e8c16a22d0ae2d50db6770e (target),throughput,p99,611000.0,,,,
comparison,,throughput,p50,,208000.0,579000.0,371000.0,178.3653846153846
comparison,,throughput,p90,,214000.0,598000.0,384000.0,179.4392523364486
comparison,,throughput,p99,,231000.0,611000.0,380000.0,164.5021645021645
paired,,throughput,paired_runs,40,,,,
paired,,throughput,relative_delta_median_pct,177.88257050392974,,,,
paired,,throughput,relative_delta_ci_low_pct,173.87369086312748,,,,
paired,,throughput,relative_delta_ci_high_pct,180.78817733990147,,,,
paired,,throughput,relative_delta_ci_width_pct,6.9144864767739875,,,,
paired,,throughput,classification,uplift,,,,
