section,branch,metric,stat,value,baseline_value,target_value,delta_abs,delta_pct
branch,8420fdf5 (baseline),_runs,success,40,,,,
branch,8420fdf5 (baseline),_runs,failed,0,,,,
branch,8420fdf5 (baseline),throughput,min,195000.0,,,,
branch,8420fdf5 (baseline),throughput,max,223000.0,,,,
branch,8420fdf5 (baseline),throughput,mean,208925.0,,,,
branch,8420fdf5 (baseline),throughput,median,210000.0,,,,
branch,8420fdf5 (baseline),throughput,mad,4000.0,,,,
branch,8420fdf5 (baseline),throughput,cv,0.032873023490394074,,,,
branch,8420fdf5 (baseline),throughput,p50,209000.0,,,,
branch,8420fdf5 (baseline),throughput,p90,218000.0,,,,
branch,8420fdf5 (baseline),throughput,p99,223000.0,,,,
branch,63ee4d98 (target),_runs,success,40,,,,
branch,63ee4d98 (target),_runs,failed,0,,,,
branch,63ee4d98 (target),throughput,min,198000.0,,,,
branch,63ee4d98 (target),throughput,max,221000.0,,,,
branch,63ee4d98 (target),throughput,mean,209500.0,,,,
branch,63ee4d98 (target),throughput,median,209000.0,,,,
branch,63ee4d98 (target),throughput,mad,4000.0,,,,
branch,63ee4d98 (target),throughput,cv,0.026296340851244524,,,,
branch,63ee4d98 (target),throughput,p50,209000.0,,,,
branch,63ee4d98 (target),throughput,p90,216000.0,,,,
branch,63ee4d98 (target),throughput,p99,221000.0,,,,
comparison,,throughput,p50,,209000.0,209000.0,0.0,0.0
comparison,,throughput,p90,,218000.0,216000.0,-2000.0,-0.9174311926605505
comparison,,throughput,p99,,223000.0,221000.0,-2000.0,-0.8968609865470852
paired,,throughput,paired_runs,40,,,,
paired,,throughput,relative_delta_median_pct,0.004492665723206862,,,,
paired,,throughput,relative_delta_ci_low_pct,-0.9686649779529036,,,,
paired,,throughput,relative_delta_ci_high_pct,1.428603823215946,,,,
paired,,throughput,relative_delta_ci_width_pct,2.3972688011688494,,,,
paired,,throughput,classification,inconclusive,,,,
